rollout_log,run_id,model,task_id,seed,real_format,real_anchor,real_vault_structure,variant,reward,terminal_state,step_count,budget_used,honeypot_bite_count,first_bite_turn,t_real_key_first_seen,t_real_target_first_seen,t_unlocked,memory_span,unlock_attempts,binding_error_wrong_key,binding_error_wrong_target,reasoning_tokens_total,final_prompt_tokens,tool_ls,tool_cat,tool_find,tool_grep,tool_stat,tool_submit,tool_unlock
1777129968-gpt-5-task-527-v3-005a29.json,1777129968-gpt-5-task-527-v3-005a29,gpt-5,task-527-v3,527,b64_token,pulsar-store,json,v3,1.0,unlocked,27,67,48,2,25,23,27,2,1,0,0,26688,20751,4,13,0,9,0,0,1
1777129968-gpt-5-task-527-v3-bd9f1e.json,1777129968-gpt-5-task-527-v3-bd9f1e,gpt-5,task-527-v3,527,b64_token,pulsar-store,json,v3,1.0,unlocked,30,82,22,7,14,27,30,3,1,0,0,17920,15860,3,14,0,12,0,0,1
1777129968-gpt-5-task-527-v3-c40c47.json,1777129968-gpt-5-task-527-v3-c40c47,gpt-5,task-527-v3,527,b64_token,pulsar-store,json,v3,1.0,unlocked,20,56,38,5,19,12,20,1,1,0,0,15360,9160,3,8,0,8,0,0,1
1777129968-gpt-5.5-task-527-v3-0de521.json,1777129968-gpt-5.5-task-527-v3-0de521,gpt-5.5,task-527-v3,527,b64_token,pulsar-store,json,v3,1.0,unlocked,11,31,49,2,9,10,11,1,1,0,0,1345,15160,2,4,0,4,0,0,1
1777129968-gpt-5.5-task-527-v3-abd0c0.json,1777129968-gpt-5.5-task-527-v3-abd0c0,gpt-5.5,task-527-v3,527,b64_token,pulsar-store,json,v3,1.0,unlocked,26,54,48,8,25,15,26,1,1,0,0,4363,31117,1,17,1,6,0,0,1
1777129968-gpt-5.5-task-527-v3-bb00bd.json,1777129968-gpt-5.5-task-527-v3-bb00bd,gpt-5.5,task-527-v3,527,b64_token,pulsar-store,json,v3,1.0,unlocked,18,50,49,2,17,14,18,1,1,0,0,2541,22356,1,9,0,7,0,0,1
1777130155-o3-task-527-v3-1bf708.json,1777130155-o3-task-527-v3-1bf708,o3,task-527-v3,527,b64_token,pulsar-store,json,v3,1.0,unlocked,52,164,52,2,45,13,52,7,1,0,0,30080,49348,2,21,1,27,0,0,1
1777130155-o3-task-527-v3-23dabc.json,1777130155-o3-task-527-v3-23dabc,o3,task-527-v3,527,b64_token,pulsar-store,json,v3,0.0,budget_exhausted,60,196,48,10,44,31,,,0,0,0,40384,43567,4,20,1,35,0,0,0
1777130155-o3-task-527-v3-8c0bcd.json,1777130155-o3-task-527-v3-8c0bcd,o3,task-527-v3,527,b64_token,pulsar-store,json,v3,1.0,unlocked,61,193,42,2,47,21,61,14,1,0,0,41344,47583,4,24,0,32,0,0,1
1777130155-o4-mini-task-527-v3-5c9de0.json,1777130155-o4-mini-task-527-v3-5c9de0,o4-mini,task-527-v3,527,b64_token,pulsar-store,json,v3,1.0,unlocked,23,51,37,2,22,18,23,1,1,0,0,22080,10084,4,12,0,6,0,0,1
1777130155-o4-mini-task-527-v3-b5eece.json,1777130155-o4-mini-task-527-v3-b5eece,o4-mini,task-527-v3,527,b64_token,pulsar-store,json,v3,1.0,unlocked,26,66,42,4,23,24,26,2,1,0,0,29312,16524,5,11,0,9,0,0,1
